State,Handgun,Long Gun,Other,Date
Wisconsin,19720,12896,1100,Feb-23
Wyoming,2103,1861,163,Feb-23
Alabama,20028,13674,1403,Jan-23
Alaska,2406,1779,323,Jan-23
Arizona,17744,8275,1763,Jan-23
Arkansas,6484,6290,485,Jan-23
California,35181,21735,4949,Jan-23
Colorado,18373,11230,2031,Jan-23
Connecticut,5842,1922,2514,Jan-23
Delaware,2231,1081,86,Jan-23
District of Columbia,326,13,0,Jan-23
Florida,58648,22950,4883,Jan-23
Georgia,18081,9451,997,Jan-23
Guam,188,79,19,Jan-23
Hawaii,0,0,0,Jan-23
Idaho,5234,4415,649,Jan-23
Illinois,28370,14140,1715,Jan-23
Indiana,22825,12560,1912,Jan-23
Iowa,2527,2790,193,Jan-23
Kansas,6507,5577,708,Jan-23
Kentucky,10744,8081,628,Jan-23
Louisiana,10755,7949,870,Jan-23
Maine,3614,3093,352,Jan-23
Mariana Islands,8,1,1,Jan-23
Maryland,12299,5849,116,Jan-23
Massachusetts,5626,2799,1506,Jan-23
Michigan,21880,15056,2420,Jan-23
Minnesota,9530,8082,1016,Jan-23
Mississippi,8153,6557,511,Jan-23
Missouri,19831,14724,2133,Jan-23
Montana,3600,3179,388,Jan-23
Nebraska,227,1665,31,Jan-23
Nevada,4875,2288,386,Jan-23
New Hampshire,6094,2872,472,Jan-23
New Jersey,10554,4848,1203,Jan-23
New Mexico,6587,3912,640,Jan-23
New York,10288,10775,1211,Jan-23
North Carolina,1728,12327,1099,Jan-23
North Dakota,1876,2325,172,Jan-23
Ohio,24938,13130,1563,Jan-23
Oklahoma,11935,8559,1339,Jan-23
Oregon,32268,15723,0,Jan-23
Pennsylvania,42802,19236,33,Jan-23
Puerto Rico,3827,277,62,Jan-23
Rhode Island,1190,622,102,Jan-23
South Carolina,10668,6069,881,Jan-23
South Dakota,2015,2506,183,Jan-23
Tennessee,28782,16472,1901,Jan-23
Texas,55982,29702,4323,Jan-23
Utah,4757,3717,733,Jan-23
Vermont,1575,1412,141,Jan-23
Virgin Islands,25,5,0,Jan-23
Virginia,26233,15043,3637,Jan-23
Washington,19251,11776,5937,Jan-23
West Virginia,5280,5333,363,Jan-23
Wisconsin,16431,10812,1180,Jan-23
Wyoming,1909,1571,164,Jan-23
Alabama,29645,25911,1740,Dec-22
Alaska,3231,2824,372,Dec-22
Arizona,23595,11885,2120,Dec-22
Arkansas,10515,11968,624,Dec-22
California,40213,28073,5523,Dec-22
Colorado,22830,15437,1959,Dec-22
Connecticut,6526,2183,1148,Dec-22
Delaware,2607,1716,115,Dec-22
District of Columbia,300,21,1,Dec-22
Florida,74886,35416,5826,Dec-22
Georgia,28194,19068,1341,Dec-22
Guam,179,86,15,Dec-22
Hawaii,0,0,0,Dec-22
Idaho,8694,7551,817,Dec-22
Illinois,30563,18733,2005,Dec-22
Indiana,28936,18301,2244,Dec-22
Iowa,3430,4684,250,Dec-22
Kansas,8716,8791,793,Dec-22
Kentucky,16789,15697,861,Dec-22
Louisiana,17019,16403,1052,Dec-22
Maine,4895,5150,419,Dec-22
Mariana Islands,17,6,0,Dec-22
Maryland,12642,8061,158,Dec-22
Massachusetts,6139,3159,1548,Dec-22
Michigan,25042,21169,2797,Dec-22
Minnesota,11270,11604,1221,Dec-22
Mississippi,13752,15187,634,Dec-22
Missouri,27213,23525,2645,Dec-22
Montana,5469,5386,463,Dec-22
Nebraska,337,2864,44,Dec-22
Nevada,6127,3153,459,Dec-22
New Hampshire,7873,4217,455,Dec-22
New Jersey,8341,4542,981,Dec-22
New Mexico,8527,5440,720,Dec-22
New York,10323,15319,1291,Dec-22
North Carolina,2841,23239,1438,Dec-22
North Dakota,1991,2808,202,Dec-22
Ohio,33116,21775,1912,Dec-22
Oklahoma,18067,16175,1726,Dec-22
Oregon,46735,22029,0,Dec-22
Pennsylvania,53009,28275,29,Dec-22
Puerto Rico,5083,357,51,Dec-22
Rhode Island,1378,746,111,Dec-22
South Carolina,16374,11987,1266,Dec-22
South Dakota,2608,3888,221,Dec-22
Tennessee,40500,28530,2569,Dec-22
Texas,83157,52862,5546,Dec-22
Utah,8160,7997,829,Dec-22
Vermont,1994,2111,149,Dec-22
Virgin Islands,25,3,0,Dec-22
Virginia,32824,22955,4519,Dec-22
Washington,20960,14335,4573,Dec-22
West Virginia,8317,9749,444,Dec-22
Wisconsin,19645,15194,1433,Dec-22
Wyoming,3096,2932,258,Dec-22
Alabama,22068,19922,1190,Nov-22
Alaska,3182,2890,332,Nov-22
Arizona,18816,9664,1513,Nov-22
Arkansas,7994,10304,439,Nov-22
California,37386,25634,4888,Nov-22
Colorado,20088,13493,1551,Nov-22
Connecticut,5660,2132,1120,Nov-22
Delaware,1961,1570,76,Nov-22
District of Columbia,455,26,2,Nov-22
Florida,61475,28064,4766,Nov-22
Georgia,20201,14036,866,Nov-22
Guam,196,83,13,Nov-22
Hawaii,0,0,0,Nov-22
Idaho,6776,6569,598,Nov-22
Illinois,24875,14612,1564,Nov-22
Indiana,23698,18044,1642,Nov-22
Iowa,3589,5081,176,Nov-22
Kansas,7501,7768,581,Nov-22
Kentucky,12229,13521,606,Nov-22
Louisiana,12512,12952,758,Nov-22
Maine,3761,4894,306,Nov-22
Mariana Islands,12,8,1,Nov-22
Maryland,12154,7431,121,Nov-22
Massachusetts,5791,3340,1389,Nov-22
Michigan,22446,23562,1754,Nov-22
Minnesota,11045,13156,956,Nov-22
Mississippi,9829,11939,416,Nov-22
Missouri,21737,21503,1800,Nov-22
Montana,4283,5028,311,Nov-22
Nebraska,263,2702,25,Nov-22
Nevada,5324,2480,363,Nov-22
New Hampshire,6358,3753,323,Nov-22
New Jersey,8346,3945,924,Nov-22
New Mexico,6926,4658,538,Nov-22
New York,9328,14518,1093,Nov-22
North Carolina,2400,17849,1015,Nov-22
North Dakota,1914,3095,131,Nov-22
Ohio,28175,23760,1472,Nov-22
Oklahoma,14698,13433,1244,Nov-22
Oregon,57990,27862,0,Nov-22
Pennsylvania,45307,27505,28,Nov-22
Puerto Rico,5943,438,64,Nov-22
Rhode Island,1238,729,117,Nov-22
South Carolina,12634,9269,772,Nov-22
South Dakota,2622,4447,180,Nov-22
Tennessee,31059,23116,2180,Nov-22
Texas,63821,41578,3964,Nov-22
Utah,6654,6741,676,Nov-22
Vermont,1575,1910,115,Nov-22
Virgin Islands,38,3,0,Nov-22
Virginia,27137,19880,3505,Nov-22
Washington,15840,11947,3208,Nov-22
West Virginia,6065,9079,337,Nov-22
Wisconsin,19780,17496,1038,Nov-22
Wyoming,2724,2534,189,Nov-22
Alabama,17564,13145,1096,Oct-22
Alaska,3319,3316,378,Oct-22
Arizona,16648,8317,1497,Oct-22
Arkansas,6579,7145,411,Oct-22
California,36991,22350,4451,Oct-22
Colorado,18115,12580,1582,Oct-22
Connecticut,5379,1875,902,Oct-22
Delaware,1956,1127,86,Oct-22
District of Columbia,406,29,0,Oct-22
Florida,56101,21525,4409,Oct-22
Georgia,18113,10887,822,Oct-22
Guam,194,69,21,Oct-22
Hawaii,0,0,0,Oct-22
Idaho,5281,5944,569,Oct-22
Illinois,21387,10840,1091,Oct-22
Indiana,20226,12643,1434,Oct-22
Iowa,2474,3402,129,Oct-22
Kansas,5686,5589,522,Oct-22
Kentucky,9836,9489,517,Oct-22
Louisiana,11485,10058,681,Oct-22
Maine,3706,6019,264,Oct-22
Mariana Islands,15,15,3,Oct-22
Maryland,11676,6156,137,Oct-22
Massachusetts,4996,2861,1332,Oct-22
Michigan,18736,18051,1541,Oct-22
Minnesota,10012,16617,912,Oct-22
Mississippi,8304,7218,383,Oct-22
Missouri,18211,17451,1639,Oct-22
Montana,3780,5862,296,Oct-22
Nebraska,106,2049,17,Oct-22
Nevada,4829,2190,334,Oct-22
New Hampshire,5366,3893,348,Oct-22
New Jersey,10050,4137,1067,Oct-22
New Mexico,6417,4088,538,Oct-22
New York,9619,13412,943,Oct-22
North Carolina,1458,14220,982,Oct-22
North Dakota,1875,4315,130,Oct-22
Ohio,21257,15147,1196,Oct-22
Oklahoma,11019,9238,969,Oct-22
Oregon,18201,11038,0,Oct-22
Pennsylvania,43318,22321,42,Oct-22
Puerto Rico,4724,308,57,Oct-22
Rhode Island,1011,707,104,Oct-22
South Carolina,10030,6942,695,Oct-22
South Dakota,2022,5141,136,Oct-22
Tennessee,26867,17176,1776,Oct-22
Texas,56594,33532,3676,Oct-22
Utah,4412,4498,596,Oct-22
Vermont,1564,2005,108,Oct-22
Virgin Islands,30,5,0,Oct-22
Virginia,24372,16631,3310,Oct-22
Washington,15021,11570,3042,Oct-22
West Virginia,4981,6824,241,Oct-22
Wisconsin,16814,16646,955,Oct-22
Wyoming,2007,2234,156,Oct-22
Alabama,17226,13518,1213,Sep-22
Alaska,3738,3767,400,Sep-22
Arizona,17476,9048,1694,Sep-22
Arkansas,6670,6102,394,Sep-22
California,34417,22375,4527,Sep-22
Colorado,18944,12605,1649,Sep-22
Connecticut,5121,1660,856,Sep-22
Delaware,1803,964,66,Sep-22
District of Columbia,634,36,0,Sep-22
Florida,52674,20389,4536,Sep-22
Georgia,17848,9552,804,Sep-22
Guam,239,91,17,Sep-22
Hawaii,0,0,0,Sep-22
Idaho,5503,5756,566,Sep-22
Illinois,21772,10505,1175,Sep-22
Indiana,21991,12729,1559,Sep-22
Iowa,2374,3089,138,Sep-22
Kansas,5656,5144,550,Sep-22
Kentucky,9610,7857,527,Sep-22
Louisiana,12116,9347,837,Sep-22
Maine,3837,5180,291,Sep-22
Mariana Islands,16,15,2,Sep-22
Maryland,11129,5779,121,Sep-22
Massachusetts,4784,2739,1102,Sep-22
Michigan,19068,17606,1731,Sep-22
Minnesota,10312,14751,981,Sep-22
Mississippi,8678,6655,405,Sep-22
Missouri,18416,15044,1658,Sep-22
Montana,4223,5236,328,Sep-22
Nebraska,115,1758,28,Sep-22
Nevada,5043,2322,388,Sep-22
New Hampshire,5444,3616,319,Sep-22
New Jersey,9214,3590,976,Sep-22
New Mexico,6341,4228,605,Sep-22
New York,10159,16180,2128,Sep-22
North Carolina,1347,12819,1094,Sep-22
North Dakota,1772,3318,175,Sep-22
Ohio,22226,14018,1282,Sep-22
Oklahoma,11002,8904,1177,Sep-22
Oregon,15511,9892,0,Sep-22
Pennsylvania,40911,20583,38,Sep-22
Puerto Rico,3537,263,55,Sep-22
Rhode Island,1025,607,90,Sep-22
South Carolina,9923,6477,720,Sep-22
South Dakota,2118,3486,163,Sep-22
Tennessee,28479,16418,1903,Sep-22
Texas,54688,36257,4023,Sep-22
Utah,4710,4497,568,Sep-22
Vermont,1629,1887,121,Sep-22
Virgin Islands,38,2,0,Sep-22
Virginia,23514,14899,3420,Sep-22
Washington,16010,10922,3098,Sep-22
West Virginia,4688,5536,278,Sep-22
Wisconsin,17356,15300,1044,Sep-22
Wyoming,2194,2354,162,Sep-22
Alabama,18400,13679,1315,Aug-22
Alaska,3225,3005,373,Aug-22
Arizona,19079,9304,1947,Aug-22
Arkansas,6885,5697,516,Aug-22
California,39236,25005,5743,Aug-22
Colorado,20557,13165,1812,Aug-22
Connecticut,4111,1347,874,Aug-22
Delaware,1913,910,104,Aug-22
District of Columbia,491,18,0,Aug-22
Florida,60229,22654,5518,Aug-22
Georgia,18868,9588,949,Aug-22
Guam,204,78,20,Aug-22
Hawaii,0,0,0,Aug-22
Idaho,5663,5167,575,Aug-22
Illinois,21278,10914,1214,Aug-22
Indiana,23746,12311,1717,Aug-22
Iowa,2425,2684,151,Aug-22
Kansas,5954,5134,649,Aug-22
Kentucky,9851,7604,645,Aug-22
Louisiana,12861,8514,1002,Aug-22
Maine,3778,3866,399,Aug-22
Mariana Islands,9,9,0,Aug-22
Maryland,12452,5404,131,Aug-22
Massachusetts,5608,2939,1306,Aug-22
Michigan,19504,15053,1908,Aug-22
Minnesota,11079,11982,1096,Aug-22
Mississippi,10282,8410,574,Aug-22
Missouri,18675,14329,1948,Aug-22
Montana,4301,4340,382,Aug-22
Nebraska,107,1620,16,Aug-22
Nevada,5591,2426,387,Aug-22
New Hampshire,5954,3293,324,Aug-22
New Jersey,10281,4003,1002,Aug-22
New Mexico,7463,4335,733,Aug-22
New York,12197,23170,4325,Aug-22
North Carolina,1571,12808,1231,Aug-22
North Dakota,1900,2753,175,Aug-22
Ohio,23314,13691,1581,Aug-22
Oklahoma,12065,8538,1471,Aug-22
Oregon,15535,9139,0,Aug-22
Pennsylvania,43173,19780,42,Aug-22
Puerto Rico,4808,352,53,Aug-22
Rhode Island,1144,676,115,Aug-22
South Carolina,10679,6543,823,Aug-22
South Dakota,2282,3123,221,Aug-22
Tennessee,27877,16463,1898,Aug-22
Texas,57617,33989,4632,Aug-22
Utah,5251,4268,632,Aug-22
Vermont,1595,1567,119,Aug-22
Virgin Islands,38,4,0,Aug-22
Virginia,23927,14134,3586,Aug-22
Washington,16573,10248,3576,Aug-22
West Virginia,4730,4762,306,Aug-22
Wisconsin,17139,13028,1080,Aug-22
Wyoming,2325,2137,208,Aug-22
Alabama,18732,11235,1411,Jul-22
Alaska,3200,2486,314,Jul-22
Arizona,19301,8868,1998,Jul-22
Arkansas,6626,4388,478,Jul-22
California,41159,23489,6090,Jul-22
Colorado,18940,11365,1789,Jul-22
Connecticut,4688,1358,986,Jul-22
Delaware,2023,886,83,Jul-22
District of Columbia,379,12,0,Jul-22
Florida,61996,21087,5289,Jul-22
Georgia,19307,7697,928,Jul-22
Guam,185,97,12,Jul-22
Hawaii,0,0,0,Jul-22
Idaho,5819,4576,684,Jul-22
Illinois,20758,9843,1133,Jul-22
Indiana,25699,10652,1683,Jul-22
Iowa,2594,2292,125,Jul-22
Kansas,6433,4363,652,Jul-22
Kentucky,10184,6714,642,Jul-22
Louisiana,12568,6411,1028,Jul-22
Maine,3976,3326,389,Jul-22
Mariana Islands,7,10,0,Jul-22
Maryland,9712,5211,120,Jul-22
Massachusetts,5032,2542,1167,Jul-22
Michigan,20700,12962,1895,Jul-22
Minnesota,10166,8655,1004,Jul-22
Mississippi,8178,4903,481,Jul-22
Missouri,19786,12698,2091,Jul-22
Montana,4333,3870,357,Jul-22
Nebraska,130,1397,19,Jul-22
Nevada,5284,2221,409,Jul-22
New Hampshire,5940,3031,408,Jul-22
New Jersey,9460,3963,926,Jul-22
New Mexico,6740,3797,620,Jul-22
New York,10691,14983,3286,Jul-22
North Carolina,1928,11528,1229,Jul-22
North Dakota,1840,2386,180,Jul-22
Ohio,25780,12538,1537,Jul-22
Oklahoma,12381,7220,1429,Jul-22
Oregon,15740,8659,0,Jul-22
Pennsylvania,42923,18194,40,Jul-22
Puerto Rico,4631,333,49,Jul-22
Rhode Island,1069,579,80,Jul-22
South Carolina,10964,5364,837,Jul-22
South Dakota,2175,2375,196,Jul-22
Tennessee,28300,14569,1971,Jul-22
Texas,60260,27696,4489,Jul-22
Utah,5319,4111,696,Jul-22
Vermont,1668,1410,127,Jul-22
Virgin Islands,61,0,1,Jul-22
Virginia,25758,13491,3582,Jul-22
Washington,22666,11347,3871,Jul-22
West Virginia,5109,4504,308,Jul-22
Wisconsin,16943,10414,1123,Jul-22
Wyoming,2167,1990,200,Jul-22
Alabama,20615,12473,1670,Jun-22
Alaska,3265,2451,355,Jun-22
Arizona,21680,10684,2246,Jun-22
Arkansas,7462,4881,624,Jun-22
California,43113,27018,7422,Jun-22
Colorado,20602,12857,2061,Jun-22
Connecticut,5869,1730,1419,Jun-22
Delaware,3504,3475,1419,Jun-22
District of Columbia,406,12,0,Jun-22
Florida,70236,26816,6465,Jun-22
Georgia,21178,8667,1114,Jun-22
Guam,199,79,20,Jun-22
Hawaii,0,0,0,Jun-22
Idaho,6832,5661,792,Jun-22
Illinois,21912,10229,1204,Jun-22
Indiana,22310,11461,2008,Jun-22
Iowa,2885,2360,158,Jun-22
Kansas,6912,4901,806,Jun-22
Kentucky,10740,7033,763,Jun-22
Louisiana,13840,6700,1105,Jun-22
Maine,4447,3773,437,Jun-22
Mariana Islands,14,13,1,Jun-22
Maryland,8401,5951,188,Jun-22
Massachusetts,5734,2910,1325,Jun-22
Michigan,22279,14440,2341,Jun-22
Minnesota,10511,8650,1158,Jun-22
Mississippi,8976,5134,556,Jun-22
Missouri,20382,13146,2377,Jun-22
Montana,5015,4597,419,Jun-22
Nebraska,115,1487,25,Jun-22
Nevada,6351,2926,497,Jun-22
New Hampshire,6688,3396,354,Jun-22
New Jersey,6813,5022,978,Jun-22
New Mexico,7367,4361,823,Jun-22
New York,11860,19130,5930,Jun-22
North Carolina,1819,13030,1398,Jun-22
North Dakota,1799,2311,165,Jun-22
Ohio,29208,13273,1636,Jun-22
Oklahoma,14288,8281,1887,Jun-22
Oregon,17867,10391,0,Jun-22
Pennsylvania,48211,20917,38,Jun-22
Puerto Rico,5585,437,48,Jun-22
Rhode Island,1457,897,129,Jun-22
South Carolina,12819,5822,873,Jun-22
South Dakota,2244,2517,207,Jun-22
Tennessee,30112,15782,2142,Jun-22
Texas,69148,32349,5487,Jun-22
Utah,6333,4920,756,Jun-22
Vermont,1767,1517,136,Jun-22
Virgin Islands,44,3,0,Jun-22
Virginia,27252,14648,4171,Jun-22
Washington,38603,16561,5553,Jun-22
West Virginia,5662,4539,344,Jun-22
Wisconsin,17974,11110,1323,Jun-22
Wyoming,2463,2412,228,Jun-22
Alabama,18288,10569,1085,May-22
Alaska,3193,2463,303,May-22
Arizona,18297,8087,1511,May-22
Arkansas,6381,4276,327,May-22
California,37659,23729,5143,May-22
Colorado,19421,11234,1495,May-22
Connecticut,5463,1585,1087,May-22
Delaware,2071,1209,163,May-22
District of Columbia,369,11,0,May-22
Florida,59519,20002,4408,May-22
Georgia,20689,7238,779,May-22
Guam,190,72,15,May-22
Hawaii,0,0,0,May-22
Idaho,6062,5228,569,May-22
Illinois,19865,8639,1031,May-22
Indiana,19617,9957,1372,May-22
Iowa,2321,2191,129,May-22
Kansas,5867,4046,499,May-22
Kentucky,9753,6567,505,May-22
Louisiana,12405,5438,771,May-22
Maine,3457,2937,309,May-22
Mariana Islands,17,26,1,May-22
Maryland,7645,5276,123,May-22
Massachusetts,5041,2508,1009,May-22
Michigan,20573,12514,1690,May-22
Minnesota,10715,9157,924,May-22
Mississippi,8395,4393,457,May-22
Missouri,18363,11898,1790,May-22
Montana,4375,4513,352,May-22
Nebraska,111,1269,21,May-22
Nevada,5586,2413,380,May-22
New Hampshire,5392,2822,248,May-22
New Jersey,6682,3955,813,May-22
New Mexico,6612,3775,514,May-22
New York,9679,12756,1771,May-22
North Carolina,1579,10792,1044,May-22
North Dakota,1882,2246,144,May-22
Ohio,22495,11534,1208,May-22
Oklahoma,11879,6871,1232,May-22
Oregon,15483,8842,0,May-22
Pennsylvania,41014,17026,64,May-22
Puerto Rico,5790,401,50,May-22
Rhode Island,1086,680,78,May-22
South Carolina,11806,4936,632,May-22
South Dakota,2096,2240,173,May-22
Tennessee,26402,12876,1737,May-22
Texas,61073,26898,3881,May-22
Utah,5366,4129,482,May-22
Vermont,1396,1287,97,May-22
Virgin Islands,31,1,0,May-22
Virginia,24118,12268,3224,May-22
Washington,26620,12272,3925,May-22
West Virginia,4907,4298,273,May-22
Wisconsin,15938,10604,1050,May-22
Wyoming,2421,2148,170,May-22
Alabama,20593,12513,1249,Apr-22
Alaska,3425,2946,391,Apr-22
Arizona,20628,9300,1814,Apr-22
Arkansas,7659,5376,483,Apr-22
California,38217,25572,5595,Apr-22
Colorado,20608,12516,1799,Apr-22
Connecticut,6064,1909,1684,Apr-22
Delaware,2326,1357,178,Apr-22
District of Columbia,538,20,1,Apr-22
Florida,65359,22430,4912,Apr-22
Georgia,22500,8495,849,Apr-22
Guam,199,82,23,Apr-22
Hawaii,0,0,0,Apr-22
Idaho,6581,5795,677,Apr-22
Illinois,24064,10548,1178,Apr-22
Indiana,24086,13122,1933,Apr-22
Iowa,2818,3058,159,Apr-22
Kansas,6989,4915,656,Apr-22
Kentucky,11609,8991,601,Apr-22
Louisiana,13978,6119,914,Apr-22
Maine,4245,3802,394,Apr-22
Mariana Islands,19,10,1,Apr-22
Maryland,7795,6062,136,Apr-22
Massachusetts,5671,3282,1287,Apr-22
Michigan,25891,17597,2303,Apr-22
Minnesota,14559,13987,1228,Apr-22
Mississippi,10141,5599,539,Apr-22
Missouri,21431,16216,2080,Apr-22
Montana,4796,4978,422,Apr-22
Nebraska,154,1631,20,Apr-22
Nevada,6004,2624,437,Apr-22
New Hampshire,6657,3648,226,Apr-22
New Jersey,7844,4643,1059,Apr-22
New Mexico,7274,4568,600,Apr-22
New York,11120,16284,2178,Apr-22
North Carolina,1655,12435,1148,Apr-22
North Dakota,2128,2837,198,Apr-22
Ohio,27592,15402,1585,Apr-22
Oklahoma,14118,8899,1579,Apr-22
Oregon,17115,10539,0,Apr-22
Pennsylvania,49384,21978,59,Apr-22
Puerto Rico,4724,355,49,Apr-22
Rhode Island,1251,788,88,Apr-22
South Carolina,12404,5569,746,Apr-22
South Dakota,2693,3077,223,Apr-22
Tennessee,29042,16037,1805,Apr-22
Texas,64582,28526,4137,Apr-22
Utah,5844,4761,676,Apr-22
Vermont,1772,1897,140,Apr-22
Virgin Islands,40,4,0,Apr-22
Virginia,26441,15143,3368,Apr-22
Washington,28741,13744,4558,Apr-22
West Virginia,5647,5719,358,Apr-22
Wisconsin,20876,16225,1303,Apr-22
Wyoming,2490,2191,206,Apr-22
Alabama,26999,17011,1649,Mar-22
Alaska,3466,2992,456,Mar-22
Arizona,25129,12035,2067,Mar-22
Arkansas,10601,7085,669,Mar-22
California,43976,29658,6490,Mar-22
Colorado,23755,15419,1985,Mar-22
Connecticut,7365,2562,4358,Mar-22
Delaware,2836,1710,198,Mar-22
District of Columbia,609,15,0,Mar-22
Florida,71992,28469,5182,Mar-22
Georgia,25478,11240,949,Mar-22
Guam,212,106,18,Mar-22
Hawaii,0,0,0,Mar-22
Idaho,7679,6750,730,Mar-22
Illinois,30013,14121,1649,Mar-22
Indiana,30469,16666,2365,Mar-22
Iowa,4005,4083,201,Mar-22
Kansas,9230,6615,901,Mar-22
Kentucky,15620,11957,822,Mar-22
Louisiana,19917,8678,1231,Mar-22
Maine,5138,4686,481,Mar-22
Mariana Islands,10,13,3,Mar-22
Maryland,8955,7485,139,Mar-22
Massachusetts,7373,4314,1557,Mar-22
Michigan,30844,21167,2597,Mar-22
Minnesota,15715,14303,1340,Mar-22
Mississippi,14080,8203,667,Mar-22
Missouri,27618,20103,2688,Mar-22
Montana,5447,5453,437,Mar-22
Nebraska,176,2256,49,Mar-22
Nevada,7657,3379,482,Mar-22
New Hampshire,7570,4308,389,Mar-22
New Jersey,9276,6845,838,Mar-22
New Mexico,9068,5781,773,Mar-22
New York,12638,18735,2804,Mar-22
North Carolina,1968,17087,1563,Mar-22
North Dakota,2629,3442,224,Mar-22
Ohio,35780,18954,2044,Mar-22
Oklahoma,16924,11028,1862,Mar-22
Oregon,19399,12285,0,Mar-22
Pennsylvania,58010,25770,53,Mar-22
Puerto Rico,6095,438,74,Mar-22
Rhode Island,1614,1061,137,Mar-22
South Carolina,16840,7787,906,Mar-22
South Dakota,3120,3694,288,Mar-22
Tennessee,36454,20535,2205,Mar-22
Texas,82218,37664,5214,Mar-22
Utah,6989,5987,733,Mar-22
Vermont,2342,2188,155,Mar-22
Virgin Islands,40,4,1,Mar-22
Virginia,31656,18081,4033,Mar-22
Washington,34398,16494,5437,Mar-22
West Virginia,7318,7219,420,Mar-22
Wisconsin,26415,18554,1476,Mar-22
Wyoming,2946,2522,232,Mar-22
Alabama,21822,14541,1351,Feb-22
Alaska,2644,2178,348,Feb-22
Arizona,20150,9935,1690,Feb-22
Arkansas,7780,5756,429,Feb-22
California,36362,23017,4941,Feb-22
Colorado,19591,12402,1590,Feb-22
Connecticut,6248,1862,2845,Feb-22
Delaware,2536,1427,168,Feb-22
District of Columbia,463,13,0,Feb-22
Florida,61461,23989,4261,Feb-22
Georgia,19910,9363,809,Feb-22
Guam,161,98,17,Feb-22
Hawaii,0,0,0,Feb-22
Idaho,6309,5577,614,Feb-22
Illinois,23796,10762,1186,Feb-22
Indiana,22916,13065,1803,Feb-22
Iowa,2953,2912,133,Feb-22
Kansas,7825,5774,706,Feb-22
Kentucky,13175,9793,649,Feb-22
Louisiana,15729,7504,936,Feb-22
Maine,3873,3286,357,Feb-22
Mariana Islands,15,10,2,Feb-22
Maryland,7838,6251,142,Feb-22
Massachusetts,5625,3092,1188,Feb-22
Michigan,23315,14903,2006,Feb-22
Minnesota,12015,9786,1065,Feb-22
Mississippi,12172,7674,551,Feb-22
Missouri,21511,15343,2145,Feb-22
Montana,4348,3898,332,Feb-22
Nebraska,177,1880,30,Feb-22
Nevada,5216,2200,334,Feb-22
New Hampshire,6067,3139,281,Feb-22
New Jersey,7111,4675,729,Feb-22
New Mexico,7176,4392,552,Feb-22
New York,10153,13758,2056,Feb-22
North Carolina,1881,14517,1146,Feb-22
North Dakota,1987,2353,169,Feb-22
Ohio,24245,14659,1633,Feb-22
Oklahoma,13521,8883,1430,Feb-22
Oregon,16029,9998,0,Feb-22
Pennsylvania,50228,21323,50,Feb-22
Puerto Rico,4923,352,56,Feb-22
Rhode Island,1314,770,101,Feb-22
South Carolina,14151,6676,812,Feb-22
South Dakota,2598,2936,242,Feb-22
Tennessee,32612,17688,2030,Feb-22
Texas,66796,31364,4328,Feb-22
Utah,5539,4559,497,Feb-22
Vermont,1892,1578,99,Feb-22
Virgin Islands,56,6,0,Feb-22
Virginia,27730,15827,3433,Feb-22
Washington,21232,11858,3661,Feb-22
West Virginia,6158,5952,387,Feb-22
Wisconsin,22686,13537,1122,Feb-22
Wyoming,2473,2227,203,Feb-22
Alabama,17571,12669,1524,Jan-22
Alaska,2248,1872,393,Jan-22
Arizona,18333,8655,1775,Jan-22
Arkansas,6355,5674,498,Jan-22
California,36971,24010,5150,Jan-22
Colorado,18435,11107,1758,Jan-22
Connecticut,5790,1803,896,Jan-22
Delaware,2140,1412,189,Jan-22
District of Columbia,434,17,0,Jan-22
Florida,57833,23109,4678,Jan-22
Georgia,15651,8724,927,Jan-22
Guam,162,83,17,Jan-22
Hawaii,0,0,0,Jan-22
Idaho,5360,4418,593,Jan-22
Illinois,22564,9950,1015,Jan-22
Indiana,21402,12343,2205,Jan-22
Iowa,2307,2377,171,Jan-22
Kansas,6297,5293,779,Jan-22
Kentucky,9894,7487,634,Jan-22
Louisiana,12253,7529,1007,Jan-22
Maine,3391,2614,371,Jan-22
Mariana Islands,24,16,1,Jan-22
Maryland,7033,5700,119,Jan-22
Massachusetts,5244,2765,1126,Jan-22
Michigan,21493,13790,2372,Jan-22
Minnesota,10750,8032,1092,Jan-22
Mississippi,8048,6372,589,Jan-22
Missouri,18427,13713,2258,Jan-22
Montana,3388,3343,350,Jan-22
Nebraska,148,1647,39,Jan-22
Nevada,5878,2687,435,Jan-22
New Hampshire,5608,2922,254,Jan-22
New Jersey,7448,4914,559,Jan-22
New Mexico,6193,3740,722,Jan-22
New York,9203,12239,1802,Jan-22
North Carolina,1662,12250,1190,Jan-22
North Dakota,1682,2108,151,Jan-22
Ohio,21582,13064,1956,Jan-22
Oklahoma,12042,8262,1532,Jan-22
Oregon,14986,8682,0,Jan-22
Pennsylvania,41927,18418,16,Jan-22
Puerto Rico,4433,279,50,Jan-22
Rhode Island,1142,666,91,Jan-22
South Carolina,10143,5864,939,Jan-22
South Dakota,2191,2685,231,Jan-22
Tennessee,26275,15442,1623,Jan-22
Texas,58532,29742,4491,Jan-22
Utah,4784,3746,500,Jan-22
Vermont,1556,1384,141,Jan-22
Virgin Islands,15,3,1,Jan-22
Virginia,23681,14124,3491,Jan-22
Washington,20809,10856,3472,Jan-22
West Virginia,4547,4850,422,Jan-22
Wisconsin,17403,10674,1286,Jan-22
