State,Handgun,Long Gun,Other,Date
New Hampshire,10745,4147,950,Dec-23
New Jersey,8087,5673,1126,Dec-23
New Mexico,7605,5696,713,Dec-23
New York,10482,15645,1125,Dec-23
North Carolina,31955,22376,1849,Dec-23
North Dakota,2204,3498,192,Dec-23
Ohio,32475,25449,2577,Dec-23
Oklahoma,17306,15773,1780,Dec-23
Oregon,20091,18181,2560,Dec-23
Pennsylvania,48588,31047,19,Dec-23
Puerto Rico,3617,361,58,Dec-23
Rhode Island,1212,712,116,Dec-23
South Carolina,14090,12651,1122,Dec-23
South Dakota,2577,4403,218,Dec-23
Tennessee,37079,30478,2526,Dec-23
Texas,79876,55280,5976,Dec-23
Utah,7803,8139,909,Dec-23
Vermont,1733,2062,136,Dec-23
Virgin Islands,61,3,0,Dec-23
Virginia,29848,24949,4435,Dec-23
Washington,26275,15170,1411,Dec-23
West Virginia,7700,10040,430,Dec-23
Wisconsin,18103,16908,1303,Dec-23
Wyoming,3247,3170,307,Dec-23
Alabama,20736,21991,1443,Nov-23
Alaska,2845,2737,366,Nov-23
Arizona,19873,12119,1812,Nov-23
Arkansas,7826,12053,553,Nov-23
California,51805,27916,6529,Nov-23
Colorado,17050,12852,1615,Nov-23
Connecticut,5655,2689,253,Nov-23
Delaware,2111,1752,101,Nov-23
District of Columbia,434,22,1,Nov-23
Florida,69854,35955,5512,Nov-23
Georgia,19194,16871,1124,Nov-23
Guam,146,60,12,Nov-23
Hawaii,0,0,0,Nov-23
Idaho,6485,7050,638,Nov-23
Illinois,27545,16503,1208,Nov-23
Indiana,22632,20175,1960,Nov-23
Iowa,3598,5395,240,Nov-23
Kansas,7139,8511,670,Nov-23
Kentucky,12538,15097,749,Nov-23
Louisiana,11385,14448,840,Nov-23
Maine,5425,5730,473,Nov-23
Mariana Islands,12,8,0,Nov-23
Maryland,9542,9064,156,Nov-23
Massachusetts,5908,4205,2258,Nov-23
Michigan,23145,26992,2045,Nov-23
Minnesota,10441,13533,999,Nov-23
Mississippi,8850,12587,598,Nov-23
Missouri,20845,24352,1998,Nov-23
Montana,4449,5735,362,Nov-23
Nebraska,294,2878,26,Nov-23
Nevada,5518,2926,408,Nov-23
New Hampshire,9866,4139,826,Nov-23
New Jersey,7971,5836,1096,Nov-23
New Mexico,6709,5144,583,Nov-23
New York,10216,17582,1203,Nov-23
North Carolina,27267,19204,1529,Nov-23
North Dakota,2008,3721,160,Nov-23
Ohio,28364,28353,2237,Nov-23
Oklahoma,14214,14486,1613,Nov-23
Oregon,13674,12572,1746,Nov-23
Pennsylvania,43991,30924,29,Nov-23
Puerto Rico,3922,428,76,Nov-23
